category	n_clusters	n_ft	n_bs	max_ft	max_bs	min_ft	min_bs
PF13409	1	2	0	2	0	2	0
PF13410	2	4	0	2	0	2	0
PF13414	2	4	0	2	0	2	0
PF13417	1	2	1	2	1	2	1
PF13561	5	11	0	3	0	2	0
PF13650	2	4	0	2	0	2	0
PF13672	1	2	0	2	0	2	0
PF13774	1	2	0	2	0	2	0
PF13833	1	2	0	2	0	2	0
PF13839	1	2	1	2	1	2	1
PF13855	2	4	0	2	0	2	0
PF13911	1	2	0	2	0	2	0
PF13961	4	9	0	3	0	2	0
PF13962	1	2	0	2	0	2	0
PF13976	18	42	6	3	1	2	0
PF14009	1	2	0	2	0	2	0
PF14214	1	2	0	2	0	2	0
PF14226	1	2	0	2	0	2	0
PF14227	25	61	3	4	1	2	0
PF14368	2	4	0	2	0	2	0
PF14416	1	2	1	2	1	2	1
PF14432	3	6	1	2	1	2	0
PF14476	4	10	2	4	1	2	0
PF14510	2	4	0	2	0	2	0
PF15491	1	2	0	2	0	2	0
PF16916	1	2	0	2	0	2	0
