category	n_clusters	n_ft	n_bs	max_ft	max_bs	min_ft	min_bs
PF00505	2	4	1	2	1	2	0
PF00507	1	2	0	2	0	2	0
PF00512	1	2	26	2	26	2	26
PF00514	3	7	33	3	16	2	1
PF00515	2	4	1	2	1	2	0
PF00533	1	2	2	2	2	2	2
PF00534	1	2	6	2	6	2	6
PF00538	3	9	2	4	2	2	0
PF00544	1	2	0	2	0	2	0
PF00550	1	2	2	2	2	2	2
PF00557	1	2	2	2	2	2	2
PF00560	15	33	143	5	27	2	0
PF00561	2	4	8	2	5	2	3
PF00565	1	2	0	2	0	2	0
PF00571	2	4	10	2	7	2	3
PF00574	1	2	3	2	3	2	3
PF00575	1	2	2	2	2	2	2
PF00578	1	2	4	2	4	2	4
PF00583	2	4	29	2	29	2	0
PF00588	1	2	1	2	1	2	1
PF00612	1	2	18	2	18	2	18
PF00622	1	2	1	2	1	2	1
PF00627	1	2	30	2	30	2	30
PF00628	5	10	81	2	24	2	4
PF00632	1	2	18	2	18	2	18
PF00638	1	2	2	2	2	2	2
PF00641	1	2	2	2	2	2	2
PF00642	4	8	77	2	30	2	12
PF00646	6	14	138	3	38	2	6
PF00650	1	2	9	2	9	2	9
PF00651	4	9	79	3	25	2	12
PF00657	6	15	49	4	28	2	0
PF00664	1	2	8	2	8	2	8
PF00665	35	92	329	5	45	2	0
PF00684	2	5	1	3	1	2	0
PF00689	1	2	0	2	0	2	0
PF00690	2	4	29	2	29	2	0
PF00692	1	2	14	2	14	2	14
PF00702	2	4	29	2	29	2	0
PF00704	2	4	0	2	0	2	0
PF00719	1	2	28	2	28	2	28
PF00722	7	17	10	4	7	2	0
PF00724	4	9	6	3	4	2	0
PF00732	1	2	0	2	0	2	0
PF00733	1	2	0	2	0	2	0
PF00782	2	4	59	2	42	2	17
PF00790	1	2	13	2	13	2	13
PF00795	1	2	1	2	1	2	1
PF00808	2	4	14	2	14	2	0
PF00838	1	2	27	2	27	2	27
PF00847	14	31	112	3	21	2	0
PF00856	3	6	63	2	34	2	6
PF00860	1	2	3	2	3	2	3
PF00891	4	11	28	4	22	2	0
PF00892	2	6	32	4	32	2	0
PF00900	1	2	6	2	6	2	6
PF00909	2	4	0	2	0	2	0
PF00924	1	2	20	2	20	2	20
PF00926	1	2	2	2	2	2	2
PF00929	1	2	2	2	2	2	2
PF00931	43	105	486	5	65	2	0
PF00933	1	2	0	2	0	2	0
PF00954	2	4	1	2	1	2	0
PF00957	1	2	0	2	0	2	0
PF00984	1	2	0	2	0	2	0
PF01018	1	2	9	2	9	2	9
PF01031	4	8	9	2	6	2	0
PF01055	1	2	23	2	23	2	23
PF01061	5	14	45	4	24	2	0
PF01070	1	2	0	2	0	2	0
PF01073	2	4	16	2	15	2	1
PF01095	2	4	2	2	1	2	1
PF01103	1	2	0	2	0	2	0
PF01112	2	4	0	2	0	2	0
PF01157	1	2	10	2	10	2	10
PF01161	2	4	10	2	10	2	0
PF01168	1	2	2	2	2	2	2
PF01184	1	3	1	3	1	3	1
PF01198	1	2	3	2	3	2	3
PF01208	1	2	1	2	1	2	1
PF01233	1	2	0	2	0	2	0
PF01248	1	3	18	3	18	3	18
PF01255	1	2	0	2	0	2	0
PF01329	1	2	1	2	1	2	1
PF01336	2	5	40	3	24	2	16
PF01344	3	6	16	2	16	2	0
PF01357	4	12	5	4	4	2	0
PF01370	5	14	13	6	5	2	0
PF01388	2	4	1	2	1	2	0
PF01397	1	2	1	2	1	2	1
PF01399	1	2	29	2	29	2	29
PF01406	1	2	2	2	2	2	2
PF01416	1	2	40	2	40	2	40
PF01419	6	14	7	3	3	2	0
PF01423	3	9	6	5	4	2	0
PF01426	3	8	13	3	9	2	1
PF01453	8	23	17	5	5	2	0
PF01459	2	4	42	2	29	2	13
PF01466	1	2	0	2	0	2	0
PF01476	1	2	0	2	0	2	0
PF01477	1	2	1	2	1	2	1
PF01479	1	2	9	2	9	2	9
PF01490	5	13	19	4	14	2	0
PF01494	3	10	32	4	26	3	0
PF01496	1	2	7	2	7	2	7
PF01501	1	2	5	2	5	2	5
PF01529	1	3	16	3	16	3	16
PF01535	49	123	933	4	73	2	0
PF01536	1	2	2	2	2	2	2
PF01541	1	2	1	2	1	2	1
PF01545	1	2	0	2	0	2	0
PF01554	1	2	0	2	0	2	0
PF01556	3	7	4	3	3	2	0
PF01565	2	4	27	2	27	2	0
PF01578	1	2	0	2	0	2	0
PF01582	5	16	52	5	20	2	0
PF01585	1	2	2	2	2	2	2
PF01593	2	4	0	2	0	2	0
PF01643	1	2	0	2	0	2	0
PF01676	1	2	2	2	2	2	2
PF01679	1	2	30	2	30	2	30
PF01680	1	2	0	2	0	2	0
PF01694	1	2	21	2	21	2	21
PF01698	1	2	0	2	0	2	0
PF01704	1	2	1	2	1	2	1
PF01713	1	2	25	2	25	2	25
PF01734	3	9	12	5	6	2	3
PF01738	1	4	0	4	0	4	0
PF01762	1	2	8	2	8	2	8
PF01764	2	4	24	2	20	2	4
PF01780	1	2	0	2	0	2	0
PF01789	2	4	36	2	24	2	12
PF01852	1	2	1	2	1	2	1
PF01915	1	2	0	2	0	2	0
PF01926	9	19	130	3	26	2	0
PF02037	1	2	35	2	35	2	35
PF02115	2	4	0	2	0	2	0
PF02133	1	2	22	2	22	2	22
PF02136	1	2	0	2	0	2	0
PF02182	1	2	19	2	19	2	19
PF02183	5	10	9	2	5	2	0
PF02190	1	2	13	2	13	2	13
PF02207	2	4	7	2	5	2	2
PF02212	4	8	9	2	6	2	0
PF02225	1	2	8	2	8	2	8
PF02338	1	2	4	2	4	2	4
PF02362	3	7	31	3	20	2	2
PF02365	1	2	12	2	12	2	12
PF02450	2	4	33	2	25	2	8
PF02458	2	4	22	2	22	2	0
PF02466	1	2	4	2	4	2	4
PF02469	3	6	8	2	8	2	0
PF02485	2	4	3	2	3	2	0
PF02496	5	22	23	9	14	2	0
PF02507	1	2	1	2	1	2	1
PF02517	1	2	18	2	18	2	18
PF02518	2	5	45	3	33	2	12
PF02519	3	6	0	2	0	2	0
PF02668	1	2	0	2	0	2	0
PF02671	1	2	6	2	6	2	6
PF02701	5	10	0	2	0	2	0
PF02705	1	2	6	2	6	2	6
PF02777	2	4	4	2	3	2	1
PF02797	2	4	3	2	2	2	1
PF02798	6	15	2	5	1	2	0
PF02799	1	2	0	2	0	2	0
PF02861	1	2	31	2	31	2	31
PF02874	1	2	0	2	0	2	0
PF02887	1	2	2	2	2	2	2
PF02984	2	4	17	2	15	2	2
PF02992	11	25	69	3	24	2	0
PF03000	1	2	25	2	25	2	25
PF03007	1	2	4	2	4	2	4
PF03016	4	8	9	2	7	2	0
PF03018	3	13	26	9	21	2	0
PF03055	1	5	2	5	2	5	2
PF03080	1	2	0	2	0	2	0
PF03083	1	2	0	2	0	2	0
PF03105	3	6	6	2	6	2	0
PF03106	1	2	1	2	1	2	1
PF03110	3	6	1	2	1	2	0
PF03124	1	2	0	2	0	2	0
PF03127	1	2	13	2	13	2	13
PF03134	1	2	4	2	4	2	4
PF03140	4	16	4	7	2	2	0
PF03143	1	2	1	2	1	2	1
PF03144	3	6	16	2	13	2	1
PF03168	2	4	0	2	0	2	0
PF03169	2	5	33	3	33	2	0
PF03171	10	22	64	3	34	2	0
PF03184	8	16	124	2	28	2	3
PF03188	1	2	0	2	0	2	0
PF03195	1	2	38	2	38	2	38
PF03221	2	4	50	2	26	2	24
PF03222	1	2	1	2	1	2	1
PF03254	2	6	4	4	4	2	0
PF03297	1	3	0	3	0	3	0
PF03330	6	18	7	4	4	2	0
PF03358	1	2	0	2	0	2	0
PF03372	2	4	60	2	39	2	21
PF03407	2	7	7	4	6	3	1
PF03468	1	2	14	2	14	2	14
PF03469	1	2	14	2	14	2	14
PF03473	1	2	0	2	0	2	0
PF03476	1	2	0	2	0	2	0
PF03492	3	9	8	5	8	2	0
PF03514	5	10	38	2	28	2	0
PF03600	1	2	0	2	0	2	0
PF03647	1	2	26	2	26	2	26
PF03652	1	2	1	2	1	2	1
PF03720	1	2	0	2	0	2	0
PF03721	1	2	0	2	0	2	0
PF03732	3	6	24	2	24	2	0
PF03781	1	5	30	5	30	5	30
PF03798	1	2	21	2	21	2	21
PF03807	1	4	5	4	5	4	5
PF03810	1	2	25	2	25	2	25
PF03924	1	2	26	2	26	2	26
PF03931	1	2	0	2	0	2	0
PF03936	2	4	2	2	1	2	1
PF03946	1	2	8	2	8	2	8
PF03951	2	4	0	2	0	2	0
PF03953	3	8	0	3	0	2	0
PF03999	1	2	1	2	1	2	1
PF04057	1	2	1	2	1	2	1
PF04096	1	2	3	2	3	2	3
PF04109	1	2	0	2	0	2	0
PF04321	2	4	16	2	15	2	1
PF04408	1	2	2	2	2	2	2
PF04438	1	2	1	2	1	2	1
PF04525	3	10	10	6	6	2	0
PF04535	2	4	1	2	1	2	0
PF04539	1	2	16	2	16	2	16
PF04542	1	2	16	2	16	2	16
PF04545	1	2	16	2	16	2	16
PF04564	2	4	17	2	16	2	1
PF04576	2	4	0	2	0	2	0
PF04577	2	4	1	2	1	2	0
PF04749	1	3	8	3	8	3	8
PF04784	2	4	10	2	6	2	4
PF04795	1	2	1	2	1	2	1
PF04833	1	2	0	2	0	2	0
PF04845	1	2	2	2	2	2	2
PF04851	2	4	29	2	15	2	14
PF04885	1	9	2	9	2	9	2
PF05018	1	2	0	2	0	2	0
PF05050	1	3	2	3	2	3	2
PF05056	1	3	1	3	1	3	1
PF05057	6	13	59	3	44	2	0
PF05078	2	5	0	3	0	2	0
PF05199	1	2	0	2	0	2	0
PF05217	1	3	11	3	11	3	11
PF05368	4	8	36	2	35	2	0
PF05637	2	4	3	2	3	2	0
PF05641	2	7	10	4	8	3	2
PF05729	4	11	17	4	14	2	0
PF05755	1	2	1	2	1	2	1
PF05922	2	4	22	2	22	2	0
PF05938	4	10	4	4	3	2	0
PF05970	33	72	438	3	53	2	0
PF05990	1	2	0	2	0	2	0
PF06241	1	2	8	2	8	2	8
PF06273	1	2	2	2	2	2	2
PF06293	1	3	20	3	20	3	20
PF06351	2	5	4	3	4	2	0
PF06415	1	2	2	2	2	2	2
PF06747	1	2	5	2	5	2	5
PF06749	1	3	1	3	1	3	1
PF06760	2	4	1	2	1	2	0
PF06813	1	2	1	2	1	2	1
PF06839	1	2	5	2	5	2	5
PF06955	6	15	10	4	7	2	0
PF06974	1	2	4	2	4	2	4
PF06978	1	2	0	2	0	2	0
PF06991	1	2	8	2	8	2	8
PF07004	2	4	14	2	14	2	0
PF07058	1	2	0	2	0	2	0
PF07200	1	2	5	2	5	2	5
PF07250	5	11	9	3	8	2	0
PF07367	4	8	5	2	5	2	0
PF07645	1	2	1	2	1	2	1
PF07651	1	2	19	2	19	2	19
PF07690	7	16	71	3	29	2	1
PF07707	1	2	4	2	4	2	4
PF07714	112	338	2098	10	95	2	0
PF07717	1	2	2	2	2	2	2
PF07722	1	2	15	2	15	2	15
PF07724	1	2	1	2	1	2	1
PF07727	11	26	80	3	20	2	0
PF07728	1	2	2	2	2	2	2
PF07731	2	4	7	2	7	2	0
PF07748	1	2	6	2	6	2	6
PF07795	1	2	0	2	0	2	0
PF07842	1	2	2	2	2	2	2
PF07876	1	2	1	2	1	2	1
PF07883	9	33	7	9	3	2	0
PF07887	1	7	3	7	3	7	3
PF07910	1	3	5	3	5	3	5
PF07969	1	2	8	2	8	2	8
PF07983	1	2	36	2	36	2	36
PF08071	1	2	6	2	6	2	6
PF08100	4	11	28	4	22	2	0
PF08132	1	2	1	2	1	2	1
PF08238	2	5	2	3	2	2	0
PF08240	6	19	52	7	17	2	0
PF08241	1	2	25	2	25	2	25
PF08244	3	8	2	3	2	2	0
PF08263	15	39	173	5	26	2	0
PF08276	1	2	0	2	0	2	0
PF08295	1	2	6	2	6	2	6
PF08370	3	7	7	3	7	2	0
PF08417	1	4	5	4	5	4	5
PF08423	1	2	0	2	0	2	0
PF08450	1	3	4	3	4	3	4
PF08477	3	6	29	2	24	2	0
PF08513	1	2	1	2	1	2	1
PF08541	1	2	0	2	0	2	0
PF08590	1	2	25	2	25	2	25
PF08627	1	2	0	2	0	2	0
PF08646	1	2	17	2	17	2	17
PF08659	3	7	24	3	21	2	1
PF08881	2	10	1	8	1	2	0
PF08911	1	2	2	2	2	2	2
PF09118	5	11	9	3	8	2	0
PF09173	1	2	2	2	2	2	2
PF09265	1	2	0	2	0	2	0
PF09337	10	21	71	3	36	2	0
PF10017	1	3	14	3	14	3	14
PF10067	1	4	0	4	0	4	0
PF10235	1	2	1	2	1	2	1
PF10237	1	3	5	3	5	3	5
PF10294	1	2	10	2	10	2	10
PF11145	2	5	0	3	0	2	0
PF11721	1	2	4	2	4	2	4
PF11937	1	2	0	2	0	2	0
PF11960	1	2	0	2	0	2	0
PF12142	1	2	2	2	2	2	2
PF12143	1	2	2	2	2	2	2
PF12296	1	2	0	2	0	2	0
PF12348	1	2	0	2	0	2	0
PF12457	1	2	2	2	2	2	2
PF12481	1	2	0	2	0	2	0
PF12515	1	2	0	2	0	2	0
PF12695	4	9	18	3	9	2	1
PF12697	3	6	8	2	5	2	0
PF12710	1	2	19	2	19	2	19
PF12796	17	50	164	6	39	2	0
PF12799	3	6	5	2	4	2	0
PF12819	16	34	30	3	6	2	0
PF12899	1	2	3	2	3	2	3
PF12937	3	6	31	2	29	2	1
PF13041	48	120	878	4	54	2	0
PF13086	1	2	0	2	0	2	0
PF13087	1	2	0	2	0	2	0
PF13091	1	3	4	3	4	3	4
PF13129	1	3	1	3	1	3	1
PF13193	2	4	9	2	9	2	0
PF13202	1	2	3	2	3	2	3
PF13238	1	2	30	2	30	2	30
PF13242	1	2	20	2	20	2	20
PF13347	1	2	0	2	0	2	0
PF13359	1	2	6	2	6	2	6
PF13360	2	5	2	3	2	2	0
PF13371	6	17	42	5	41	2	0
PF13409	1	2	0	2	0	2	0
PF13410	2	5	2	3	2	2	0
PF13414	8	18	103	3	32	2	0
PF13417	2	4	4	2	3	2	1
PF13419	2	4	34	2	30	2	4
PF13450	1	2	6	2	6	2	6
PF13483	1	2	24	2	24	2	24
PF13489	1	3	7	3	7	3	7
PF13499	8	16	66	2	35	2	1
PF13513	1	2	30	2	30	2	30
PF13528	1	2	10	2	10	2	10
PF13561	8	25	34	9	13	2	0
PF13579	1	2	11	2	11	2	11
PF13630	1	2	1	2	1	2	1
PF13632	2	4	3	2	3	2	0
PF13637	3	7	25	3	17	2	3
PF13639	13	27	163	3	25	2	0
PF13650	2	4	0	2	0	2	0
PF13668	2	4	0	2	0	2	0
PF13672	3	6	0	2	0	2	0
PF13676	1	2	0	2	0	2	0
PF13774	1	2	0	2	0	2	0
PF13802	1	2	23	2	23	2	23
PF13812	2	5	90	3	74	2	16
PF13833	1	2	0	2	0	2	0
PF13837	8	16	81	2	33	2	0
PF13839	1	3	35	3	35	3	35
PF13848	1	2	17	2	17	2	17
PF13855	29	67	363	6	49	2	0
PF13857	4	8	8	2	5	2	0
PF13911	1	2	0	2	0	2	0
PF13920	8	17	147	3	37	2	2
PF13947	1	2	1	2	1	2	1
PF13952	4	10	58	4	26	2	4
PF13960	14	30	177	3	31	2	2
PF13961	8	19	8	3	4	2	0
PF13962	13	34	78	5	40	2	0
PF13976	20	60	59	7	19	2	0
PF14009	3	6	0	2	0	2	0
PF14144	1	3	1	3	1	3	1
PF14214	21	43	251	3	25	2	0
PF14223	9	18	30	2	21	2	0
PF14226	7	17	47	3	34	2	0
PF14227	28	89	41	7	6	2	0
PF14244	2	4	15	2	15	2	0
PF14309	1	2	3	2	3	2	3
PF14363	1	2	11	2	11	2	11
PF14368	3	9	2	5	1	2	0
PF14379	3	6	3	2	2	2	0
PF14383	1	2	3	2	3	2	3
PF14389	2	5	19	3	15	2	4
PF14416	1	3	35	3	35	3	35
PF14432	18	46	209	4	33	2	0
PF14476	2	12	20	8	10	4	10
PF14497	1	3	8	3	8	3	8
PF14510	3	7	7	3	7	2	0
PF14531	1	2	5	2	5	2	5
PF14541	1	3	4	3	4	3	4
PF14580	1	2	7	2	7	2	7
PF14714	1	2	3	2	3	2	3
PF14770	1	3	5	3	5	3	5
PF15474	1	2	2	2	2	2	2
PF15491	4	8	40	2	25	2	0
PF15612	1	2	30	2	30	2	30
PF15801	1	2	2	2	2	2	2
PF16095	9	25	63	6	29	2	0
PF16123	1	3	2	3	2	3	2
PF16135	1	2	19	2	19	2	19
PF16656	1	2	7	2	7	2	7
PF16879	1	2	6	2	6	2	6
PF16884	2	4	3	2	3	2	0
PF16900	1	2	17	2	17	2	17
PF16916	1	2	0	2	0	2	0
PF16953	1	2	1	2	1	2	1
